scene_id,im_id,gt_index,camera_id,model_count,best_score_model,best_score,best_translation_error_mm_model,best_translation_error_mm,best_depth_error_mm_model,best_depth_error_mm,best_rotation_error_deg_model,best_rotation_error_deg,best_center_error_px_model,best_center_error_px,best_gt_bbox_center_error_px_model,best_gt_bbox_center_error_px,best_add_mm_model,best_add_mm,best_pred_bbox_iou_model,best_pred_bbox_iou,best_pred_mask_iou_model,best_pred_mask_iou
1,970,0,front,4,finetune3,0.30078125,finetune2,1807.369855591235,finetune2,1804.337061146376,original,166.02559512077806,original,0.6527808674479185,finetune2,0.22937865486437092,finetune2,3211.0182462469684,finetune2,0.8888888888888888,finetune2,0.7726657645466847
1,975,0,front,4,finetune3,0.1484375,finetune2,13624.756704197865,finetune2,13621.223661909971,finetune,35.13282881209543,original,6.924166672698147,original,7.105549313003604,finetune2,13676.162227200242,original,0.5940390544707091,finetune,0.44429347826086957
1,980,0,front,4,finetune3,0.125,finetune2,11290.561834073673,finetune2,11275.760872360486,finetune,32.06583919672626,finetune3,2.274346959103272,finetune3,1.961253632006522,finetune2,11333.32224978835,original,0.5139765554553652,finetune3,0.44548872180451127
1,985,0,front,4,finetune3,0.12890625,finetune,20346.108807738023,finetune,20343.676157813286,finetune3,32.25535001518131,finetune3,5.246984834570956,finetune3,5.032140370049214,finetune,20385.666684303676,original,0.4765258215962441,original,0.43263757115749524
1,990,0,front,4,finetune3,0.1953125,finetune3,18406.8257760958,finetune3,18382.508689664144,finetune3,10.761228056235216,finetune3,3.5958981069710214,finetune3,4.190577595068952,finetune3,18413.22216743641,finetune,0.6896551724137931,finetune3,0.5449101796407185
1,995,0,front,4,finetune3,0.16015625,original,19116.835856545353,original,19109.904941584733,finetune3,10.114569673164652,finetune3,2.0259099152430275,finetune3,2.4467624146667055,original,19164.775805065274,original,0.6954436450839329,finetune3,0.5815450643776824
1,1000,0,front,4,finetune3,0.12109375,finetune2,13235.86906824789,finetune2,13225.883240057337,finetune,27.27743808582768,finetune,3.698384202693587,finetune,3.6122958944902845,finetune2,13276.227077565474,finetune,0.44776119402985076,finetune,0.48072562358276644
1,1005,0,front,4,finetune3,0.05078125,finetune3,37803.39459426064,finetune3,37798.89284992809,original,72.67306144198592,finetune,4.344212187272779,finetune,4.557930243049645,finetune3,37851.61465482884,original,0.48621041879468846,finetune3,0.562396006655574
1,1010,0,front,4,finetune3,0.16796875,finetune3,19243.2647406423,finetune3,19242.074120925063,finetune3,17.32707623984796,finetune2,3.61464897170254,finetune,3.5519610216050386,finetune3,19255.910679388577,finetune3,0.5843828715365239,finetune2,0.5431034482758621
1,1015,0,front,4,finetune3,0.19140625,finetune,15015.662364287156,finetune,15000.140982695084,finetune3,18.945153110152315,original,2.7069078106131688,original,2.4059537051014557,finetune,15106.362952715841,original,0.6358974358974359,finetune2,0.5489021956087824
